Period,Instrument Type,Volume (Million) ,Value (RM Million)
20190101,Credit Card,42.1,12519.48454
20190201,Credit Card,35.8,10074.76015
20190301,Credit Card,40.6,11767.31496
20190401,Credit Card,40,11401.62922
20190501,Credit Card,41.9,12102.32398
20190601,Credit Card,40.3,11218.60716
20190701,Credit Card,43.6,12051.38459
20190801,Credit Card,43.3,12020.50859
20190901,Credit Card,43.5,11801.66604
20191001,Credit Card,44.9,12323.50767
20191101,Credit Card,44.8,12513.45836
20191201,Credit Card,49.3,13997.096
20200101,Credit Card,47.5,13130.08986
20200201,Credit Card,41.2,11030.47017
20200301,Credit Card,39.5,9782.156338
20200401,Credit Card,26.4,6174.564848
20200501,Credit Card,33.8,8687.55355
20200601,Credit Card,38.6,10140.0933
20200701,Credit Card,42.9,11305.61018
20200801,Credit Card,43.9,11483.07217
20200901,Credit Card,44.7,11306.45088
20201001,Credit Card,41.5,10487.52446
20201101,Credit Card,41.4,10695.56984
20201201,Credit Card,47.8,12772.28468
20210101,Credit Card,43.1,10948.98108
20210201,Credit Card,38.9,9647.948095
20210301,Credit Card,48.4,12202.7491
20210401,Credit Card,46.7,11697.46913
20210501,Credit Card,44.2,10867.14393
20210601,Credit Card,38.8,8883.631967
20210701,Credit Card,41.8,9563.331316
20210801,Credit Card,44.2,10391.43112
20210901,Credit Card,46.6,11544.0751
20211001,Credit Card,51.6,13187.78302
20211101,Credit Card,53.9,13879.04602
20211201,Credit Card,57.8,15365.99388
20220101,Credit Card,59.5,15157.62902
20220201,Credit Card,48.2,11500.22277
20220301,Credit Card,56.4,13976.19533
20220401,Credit Card,55,14006.69089
20220501,Credit Card,58.6,14422.36796
20220601,Credit Card,58.2,14480.20729
20220701,Credit Card,59.8,14849.02821
20220801,Credit Card,62.7,15344.0434
20220901,Credit Card,61.4,15149.20064
20221001,Credit Card,64.5,15639.04954
20221101,Credit Card,62.4,15393.03102
20221201,Credit Card,68.7,17720.26436
20230101,Credit Card,67.6,16797.99607
20230201,Credit Card,58.7,14709.50519
20230301,Credit Card,66.8,16671.39329
20230401,Credit Card,63.6,15506.08336
20230501,Credit Card,67.9,16274.68587
20230601,Credit Card,66.8,15865.39423
20230701,Credit Card,66.8,15920.65001
20230801,Credit Card,71,16927.34233
20230901,Credit Card,71.3,16757.07747
20231001,Credit Card,74,17565.53566
20231101,Credit Card,72.8,17564.30373
20231201,Credit Card,78,19328.99801
20240101,Credit Card,77.9,18830.76186
20240201,Credit Card,70.7,17251.64623
20240301,Credit Card,74,17832.56937
20240401,Credit Card,70.5,16772.82005
20240501,Credit Card,75.5,17707.91138
20240601,Credit Card,73.8,17129.1503
20240701,Credit Card,77.6,17712.3537
20240801,Credit Card,78.8,17776.21949
20240901,Credit Card,79.6,17937.69052
20241001,Credit Card,81.1,18497.39108
20241101,Credit Card,80.1,18246.77608
20241201,Credit Card,88.4,20544.11386
20250101,Credit Card,86.6,20118.86373
20190101,Charge Card,0.471321,1189.025031
20190201,Charge Card,0.410832,974.37022
20190301,Charge Card,0.518377,1182.325592
20190401,Charge Card,0.639428,1124.985143
20190501,Charge Card,0.538091,1115.117093
20190601,Charge Card,0.495627,1013.184658
20190701,Charge Card,0.562058,1103.860458
20190801,Charge Card,0.548217,1155.84533
20190901,Charge Card,0.511599,1101.411639
20191001,Charge Card,0.539955,1120.30406
20191101,Charge Card,0.518277,1046.6542
20191201,Charge Card,0.471263,1006.467078
20200101,Charge Card,0.455313,1048.63963
20200201,Charge Card,0.402435,919.212824
20200301,Charge Card,0.299451,881.820083
20200401,Charge Card,0.152977,725.828761
20200501,Charge Card,0.189924,747.062796
20200601,Charge Card,0.226687,753.026607
20200701,Charge Card,0.280129,842.866686
20200801,Charge Card,0.26849,870.129242
20200901,Charge Card,0.283498,899.45965
20201001,Charge Card,0.25764,871.864127
20201101,Charge Card,0.244602,826.688633
20201201,Charge Card,0.282529,866.03508
20210101,Charge Card,0.251642,951.909604
20210201,Charge Card,0.221539,774.687877
20210301,Charge Card,0.283035,970.928944
20210401,Charge Card,0.275623,925.623948
20210501,Charge Card,0.244725,842.121464
20210601,Charge Card,0.229939,854.313623
20210701,Charge Card,0.260649,843.06911
20210801,Charge Card,0.300444,896.7669
20210901,Charge Card,0.309367,940.051639
20211001,Charge Card,0.335736,962.173072
20211101,Charge Card,0.355554,995.288166
20211201,Charge Card,0.371993,977.953999
20220101,Charge Card,0.36967,1113.007003
20220201,Charge Card,0.33564,955.102911
20220301,Charge Card,0.422587,1096.087299
20220401,Charge Card,0.451247,1193.534302
20220501,Charge Card,0.458463,1078.790668
20220601,Charge Card,0.509443,1212.835042
20220701,Charge Card,0.477461,1174.39264
20220801,Charge Card,0.504474,1297.268586
20220901,Charge Card,0.447735,1201.890839
20221001,Charge Card,0.454239,1241.564997
20221101,Charge Card,0.468505,1239.196776
20221201,Charge Card,0.451754,1221.712988
20230101,Charge Card,0.424773,1322.65077
20230201,Charge Card,0.447898,1255.95864
20230301,Charge Card,0.522982,1405.626918
20230401,Charge Card,0.440472,1253.969262
20230501,Charge Card,0.516078,1347.067113
20230601,Charge Card,0.482895,1275.462621
20230701,Charge Card,0.494444,1287.737652
20230801,Charge Card,0.530666,1398.22995
20230901,Charge Card,0.513052,1325.438299
20231001,Charge Card,0.55335,1384.369332
20231101,Charge Card,0.54831,1390.223913
20231201,Charge Card,0.523597,1319.649719
20240101,Charge Card,0.568938,1467.244114
20240201,Charge Card,0.517414,1333.250621
20240301,Charge Card,0.580959,1391.896562
20240401,Charge Card,0.547439,1279.528797
20240501,Charge Card,0.61884,1354.531249
20240601,Charge Card,0.586389,1346.142313
20240701,Charge Card,0.632207,1406.391624
20240801,Charge Card,0.635829,1369.147266
20240901,Charge Card,0.60549,1297.246388
20241001,Charge Card,0.667612,1411.501474
20241101,Charge Card,0.662372,1421.874707
20241201,Charge Card,0.621575,1409.037992
20250101,Charge Card,0.626001,1530.55652
20190101,Debit Card,24.920701,3960.215498
20190201,Debit Card,22.894376,3527.401276
20190301,Debit Card,27.685097,4161.107073
20190401,Debit Card,26.932473,3999.184874
20190501,Debit Card,30.417113,4656.194752
20190601,Debit Card,29.159231,4202.505928
20190701,Debit Card,31.072613,4282.537324
20190801,Debit Card,32.343176,4393.981725
20190901,Debit Card,32.624901,4360.866718
20191001,Debit Card,35.946807,4671.848478
20191101,Debit Card,35.66388,4605.788829
20191201,Debit Card,41.310005,5572.516106
20200101,Debit Card,40.28052,5211.732737
20200201,Debit Card,36.926237,4607.50915
20200301,Debit Card,36.843061,4239.100755
20200401,Debit Card,26.49877,2715.181375
20200501,Debit Card,39.203076,4798.51346
20200601,Debit Card,39.54367,4865.089625
20200701,Debit Card,44.739505,5547.896367
20200801,Debit Card,45.298911,5558.51224
20200901,Debit Card,45.663787,5376.589144
20201001,Debit Card,45.976109,5201.693721
20201101,Debit Card,45.103815,5134.421989
20201201,Debit Card,51.863198,6246.017429
20210101,Debit Card,50.217351,5832.898231
20210201,Debit Card,50.255469,5623.355563
20210301,Debit Card,62.251,7427.402543
20210401,Debit Card,59.759294,6905.169221
20210501,Debit Card,60.651461,6677.240609
20210601,Debit Card,49.094386,4361.960754
20210701,Debit Card,54.735835,4957.431615
20210801,Debit Card,58.508638,5528.628049
20210901,Debit Card,64.917432,6534.560747
20211001,Debit Card,74.073204,7912.283339
20211101,Debit Card,72.820747,7791.378523
20211201,Debit Card,79.503664,8659.649671
20220101,Debit Card,77.650461,8344.794167
20220201,Debit Card,66.476966,6716.09216
20220301,Debit Card,82.309444,8411.736111
20220401,Debit Card,101.720449,11301.07434
20220501,Debit Card,107.438839,11612.63691
20220601,Debit Card,100.89257,10034.32584
20220701,Debit Card,105.708836,10126.40491
20220801,Debit Card,105.467539,9961.414056
20220901,Debit Card,105.645022,9935.561051
20221001,Debit Card,114.933423,10681.58738
20221101,Debit Card,111.000889,10100.63368
20221201,Debit Card,121.166128,11593.96544
20230101,Debit Card,122.646767,11496.85316
20230201,Debit Card,108.070946,9807.608184
20230301,Debit Card,124.116673,11574.4634
20230401,Debit Card,127.265272,12119.04256
20230501,Debit Card,129.62797,11255.11056
20230601,Debit Card,128.285391,10878.59899
20230701,Debit Card,137.215459,11460.45527
20230801,Debit Card,138.573939,11483.07473
20230901,Debit Card,138.347542,11350.03476
20231001,Debit Card,147.265613,11868.90865
20231101,Debit Card,143.753169,11729.31331
20231201,Debit Card,153.335511,13155.47237
20240101,Debit Card,150.333625,12393.22579
20240201,Debit Card,148.411121,12495.26131
20240301,Debit Card,156.977547,13441.7321
20240401,Debit Card,154.632095,12687.112
20240501,Debit Card,166.912292,13019.79326
20240601,Debit Card,164.873577,12746.92195
20240701,Debit Card,167.576585,12624.79447
20240801,Debit Card,168.956092,12709.9098
20240901,Debit Card,167.983594,12583.25049
20241001,Debit Card,177.530617,13156.76875
20241101,Debit Card,172.137531,12618.70009
20241201,Debit Card,192.953064,14746.7092
20250101,Debit Card,193.273406,14858.7863
20190101,E-money,164.984205,1115.973028
20190201,E-money,146.253994,1043.1933
20190301,E-money,173.771624,1283.154209
20190401,E-money,168.27237,1133.133881
20190501,E-money,171.391707,1385.101643
20190601,E-money,171.727647,1384.080697
20190701,E-money,180.518063,1482.095861
20190801,E-money,179.627791,1534.517115
20190901,E-money,173.104339,1576.826138
20191001,E-money,184.039503,1668.439082
20191101,E-money,183.765117,1873.723954
20191201,E-money,193.480984,2148.412804
20200101,E-money,196.552681,2207.055599
20200201,E-money,184.739867,1981.578922
20200301,E-money,128.399412,1866.893934
20200401,E-money,45.991722,1488.756631
20200501,E-money,95.912688,1900.546577
20200601,E-money,145.539022,2071.163008
20200701,E-money,175.141183,2390.108017
20200801,E-money,200.415972,2824.583497
20200901,E-money,190.767494,2655.893374
20201001,E-money,153.20006,2561.464756
20201101,E-money,137.72753,2729.281246
20201201,E-money,173.297474,3017.972593
20210101,E-money,141.93506,3074.996444
20210201,E-money,128.198707,2946.627428
20210301,E-money,188.649883,3586.65998
20210401,E-money,194.232786,3715.118941
20210501,E-money,154.661874,3844.93663
20210601,E-money,125.750236,4084.44117
20210701,E-money,131.479419,4175.061925
20210801,E-money,151.662608,4551.965766
20210901,E-money,182.940954,4717.134711
20211001,E-money,223.22124,4771.096188
20211101,E-money,233.66514,5012.212995
20211201,E-money,251.553413,5319.973288
20220101,E-money,249.290296,5453.144072
20220201,E-money,208.353432,4660.928752
20220301,E-money,247.257787,5477.412888
20220401,E-money,257.551261,5930.010435
20220501,E-money,270.657348,5947.67258
20220601,E-money,264.18377,5751.853381
20220701,E-money,267.026356,5946.379736
20220801,E-money,273.876323,6082.647369
20220901,E-money,274.689624,6040.014697
20221001,E-money,290.184752,6392.473413
20221101,E-money,276.453528,6367.296866
20221201,E-money,307.151498,7133.371401
20230101,E-money,298.103384,7488.844669
20230201,E-money,282.663107,6910.504106
20230301,E-money,323.470154,8012.90847
20230401,E-money,300.584849,7772.113536
20230501,E-money,331.853556,8352.95631
20230601,E-money,331.036083,8788.660035
20230701,E-money,351.040779,9286.746575
20230801,E-money,349.968024,9200.679589
20230901,E-money,342.796389,9164.115571
20231001,E-money,359.241136,9714.328203
20231101,E-money,353.524421,9989.405519
20231201,E-money,399.042862,11976.80566
20240101,E-money,384.945125,11593.76856
20240201,E-money,367.680143,11459.21834
20240301,E-money,396.102644,11842.96722
20240401,E-money,384.423495,11674.65216
20240501,E-money,417.594899,12633.86234
20240601,E-money,404.223084,12687.10241
20240701,E-money,426.320964,13429.26597
20240801,E-money,436.089082,14177.02059
20240901,E-money,428.003271,14705.41888
20241001,E-money,452.839591,15800.09327
20241101,E-money,453.281726,16192.13016
20241201,E-money,472.896887,17890.03385
20250101,E-money,480.176515,19499.46792
